step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa
1880,1.880000000e-09,2.068740531e-16,-5.847288401e-22,2.068734684e-16,9.989217780e+03,1.379158407e-07
1890,1.890000000e-09,2.068740635e-16,-5.932106005e-22,2.068734703e-16,9.989218284e+03,1.379158450e-07
1900,1.900000000e-09,2.068740986e-16,-6.281737295e-22,2.068734705e-16,9.989219980e+03,1.379158571e-07
1910,1.910000000e-09,2.068740778e-16,-6.082578175e-22,2.068734696e-16,9.989218975e+03,1.379158492e-07
1920,1.920000000e-09,2.068740763e-16,-6.022873462e-22,2.068734740e-16,9.989218902e+03,1.379158504e-07
1930,1.930000000e-09,2.068739711e-16,-4.893419198e-22,2.068734817e-16,9.989213821e+03,1.379158114e-07
1940,1.940000000e-09,2.068740245e-16,-5.570604503e-22,2.068734674e-16,9.989216398e+03,1.379158281e-07
1950,1.950000000e-09,2.068740899e-16,-6.178919498e-22,2.068734720e-16,9.989219559e+03,1.379158545e-07
1960,1.960000000e-09,2.068740636e-16,-5.938330301e-22,2.068734698e-16,9.989218288e+03,1.379158443e-07
1970,1.970000000e-09,2.068740744e-16,-6.054870932e-22,2.068734689e-16,9.989218808e+03,1.379158476e-07
1980,1.980000000e-09,2.068741475e-16,-6.791709066e-22,2.068734683e-16,9.989222339e+03,1.379158728e-07
1990,1.990000000e-09,2.068741462e-16,-6.741362812e-22,2.068734720e-16,9.989222274e+03,1.379158733e-07
2000,2.000000000e-09,2.068741350e-16,-6.605889880e-22,2.068734744e-16,9.989221733e+03,1.379158701e-07
